Champ,"Objet / Onglet","Sens du flux","API Name (source)","Data Type (source)",Required,"Values (Picklist, Formula)","A interfacer",Synchro,"Cible existante","Field Label (cible)","API Name (cible)",Commentaires
"Projet associé","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",,,false,,"✅ Oui",Création/Modification,"Champ existant",,Chantier_associe__c,
"Lien du devis CODIAL","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",,Lien_du_devis_CODIAL__c,
"Conditions de facturation","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",,Conditions_de_facturation__c,"a definir"
"Date d'expiration","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",DRELANCE,,false,,"✅ Oui",Création/Modification,"Champ existant","Date singature previ",Date_d_expiration__c,
Commentaires,"Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",SUJET,,false,,"❌ Non",Création/Modification,"Champ existant",Sujet,Commentaires__c,
"Zone d'application","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",,Zone_d_application__c,
"Type de création","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",,Type_de_creation__c,
"Apporteur d'affaires","Devis (Opportunités) - Codial vers Salesforce",,CODEREP,,false,,"❌ Non",,,Commercial,Apporteur_d_affaires__c,
"Adresse du projet (Ville)","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",VILLE,,false,,"✅ Oui",Création/Modification,"Champ existant",Ville,Adresse_du_chantier__City__s,
"Loss reason","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",DOUBLON,Loss_Reason__c,
"Adresse du projet (Code postal)","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",COP,,false,,"✅ Oui",Création/Modification,"Champ existant","Code postal",Adresse_du_chantier__PostalCode__s,
"Adresse du projet","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",ADRESSE1_CHANTIER,,false,,"❌ Non",Création/Modification,"Champ existant","Adresse Livraison",Adresse_du_chantier__c,
"Statut du chantier","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",,Statut_du_chantier__c,
"Adresse du projet (Pays/territoire)","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",CODE_PAYS_FACT,,false,,"✅ Oui",Création/Modification,"Champ existant",CODE_PAYS_FACT,Adresse_du_chantier__CountryCode__s,
"Codial projet external Id","Projet - Codial vers Salesforce","Codial => Salesforce",IDCOD_PROJET,,false,,"✅ Oui",Création/Modification,"Champ à créer",,Codial_Projet_External_Id,
"Nom du projet","Projet - Codial vers Salesforce","Codial => Salesforce",NOM,,false,,"✅ Oui",Création/Modification,"Champ existant",NOM,Name,
"Date de création","Projet - Codial vers Salesforce","Codial => Salesforce",DATE_CREATION,,false,,"✅ Oui",Création/Modification,"Champ existant",,CreatedDate,
"Adresse du projet (Rue)","Projet - Codial vers Salesforce","Codial => Salesforce",ADRESSE,,false,,"✅ Oui",Création/Modification,"Champ existant",,Adresse_du_projet__Street__s,
"Adresse du projet (Ville)","Projet - Codial vers Salesforce","Codial => Salesforce",VILLE_CHANTIER,,false,,"✅ Oui",Création/Modification,"Champ existant",,Adresse_du_projet__City__s,
"Adresse du projet (Code postal)","Projet - Codial vers Salesforce","Codial => Salesforce",COP_CHANTIER,,false,,"✅ Oui",Création/Modification,"Champ existant",,Adresse_du_projet__PostalCode__s,
Compte,"Projet - Codial vers Salesforce","Codial => Salesforce",CODE_TIERS,,false,,"✅ Oui",Création/Modification,"Champ existant",,Compte__c,
Devis,"Projet - Codial vers Salesforce","Codial => Salesforce","Id de devis Salesforce",,false,,"❌ Non",Création/Modification,"Champ existant",,Opportunit__c,
"Statut du projet","Projet - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",,Statut_du_projet__c,
"Projet ferme ?","Devis (Opportunités) - Codial vers Salesforce",,,,false,,"❌ Non",,,,Chantier_ferme__c,
Compléxité,"Devis (Opportunités) - Codial vers Salesforce",,,,false,,"❌ Non",,,,Complexite__c,
"ID du contact","Contacts - Codial vers Salesforce","Codial => Salesforce",ID_CONTACT,,false,,"❌ Non",Création,"Champ existant",ID_CONTACT,Id,
"Adresse e-mail","Contacts - Codial vers Salesforce","Codial => Salesforce",EMAIL_CONTACT,,false,,"✅ Oui",Création/Modification,"Champ existant",Email,Email,
"ID du compte","Contacts - Codial vers Salesforce","Codial => Salesforce",CODE,,false,,"✅ Oui",Création/Modification,"Champ existant","Code client",AccountId,
Nom,"Contacts - Codial vers Salesforce","Codial => Salesforce",NOM_CONTACT,,false,,"✅ Oui",Création/Modification,"Champ existant","Nom contact",LastName,
Prénom,"Contacts - Codial vers Salesforce","Codial => Salesforce",NOM_CONTACT,,false,,"✅ Oui",Création/Modification,"Champ existant","Nom contact",FirstName,
Civilité,"Contacts - Codial vers Salesforce","Codial => Salesforce",CIVILITE_CONTACT,,false,Mr.;Mme,"✅ Oui",Création/Modification,"Champ existant",Civilité,Salutation,
"Nom complet","Contacts - Codial vers Salesforce","Codial => Salesforce",NOM_CONTACT,,false,,"❌ Non",Création/Modification,"Champ existant","Nom contact",Name,
Rue,"Contacts - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",,MailingStreet,
Ville,"Contacts - Codial vers Salesforce","Codial => Salesforce",VILLE,,false,,"✅ Oui",Création/Modification,"Champ existant",Ville,MailingCity,
Région/Province,"Contacts - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",,MailingState,
"Code postal","Contacts - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",,MailingPostalCode,
Pays,"Contacts - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant",,MailingCountry,
"Téléphone (bureau)","Contacts - Codial vers Salesforce","Codial => Salesforce",TEL_CONTACT,,false,,"✅ Oui",Création/Modification,"Champ existant",Téléphone,Phone,
"Télécopie (bureau)","Contacts - Codial vers Salesforce","Codial => Salesforce",FAX_CONTACT,,false,,"✅ Oui",Création/Modification,"Champ existant",Fax,Fax,
"Téléphone mobile","Contacts - Codial vers Salesforce","Codial => Salesforce",PORT_CONTACT,,false,,"✅ Oui",Création/Modification,"Champ existant",Portable,MobilePhone,
Fonction,"Contacts - Codial vers Salesforce","Codial => Salesforce",FONCTION_CONTACT,,false,,"✅ Oui",Création/Modification,"Champ existant",Fonction,Title,
"Date de création","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",DATE_CREATION,,false,,"✅ Oui",Création/Modification,"Champ existant","Date de création",CreatedDate,
"Date de création","Contacts - Codial vers Salesforce","Codial => Salesforce",DATE_CREATION,,false,,"✅ Oui",Création,"Champ existant","Date de création",CreatedDate,
"Devis Codial External Id","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",IDCOD_PROJET,,false,,"✅ Oui",Création,"Champ à créer","Identifiant du projet",Devis_Codial_External_Id,
"ID de l'affaire","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",,,false,,"❌ Non",Création/Modification,"Champ existant","Affaire Salesforce external Id",Id,
"ID du compte","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",CODE,,false,,"✅ Oui",Création/Modification,"Champ existant","Code client",AccountId,
"Nom du devis","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",SUJET,,false,,"✅ Oui",Création/Modification,"Champ existant",Sujet,"Nom du devis adlucem®",
Description,"Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",DESCRIP1,,false,,"✅ Oui",Création/Modification,"Champ existant",Description,Description,
Étape,"Devis (Opportunités) - Codial vers Salesforce",,,,false,,"❌ Non",,,,StageName,
Montant,"Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",TOTAL,,false,,"✅ Oui",Création/Modification,"Champ existant",Total,Amount,
"Probabilité (%)","Devis (Opportunités) - Codial vers Salesforce",,,,false,,"❌ Non",,,,Probability,
"Date d'exécution","Devis (Opportunités) - Codial vers Salesforce","Codial => Salesforce",DRELANCE,,false,,"✅ Oui",Création/Modification,"Champ existant","Date relance",CloseDate,
"Étape suivante","Devis (Opportunités) - Codial vers Salesforce",,,,false,,"❌ Non",,,,NextStep,
"Source d'origine","Devis (Opportunités) - Codial vers Salesforce",,,,false,,"❌ Non",,,,LeadSource,
Fermée,"Devis (Opportunités) - Codial vers Salesforce",,INT_TERMINE,,false,,"❌ Non",,,"Projet clos",IsClosed,
"Adresse du projet (Code postal)","Projet - Salesforce vers Codial","Salesforce => Codial",Adresse_du_projet__PostalCode__s,Text,false,,"✅ Oui",Création/Modification,"Champ existant",CP,COP_CHANTIER,
"Adresse du projet (Rue)","Projet - Salesforce vers Codial","Salesforce => Codial",Adresse_du_projet__Street__s,"Text Area",false,,"✅ Oui",Création/Modification,"Champ existant",ADRESSE,ADRESSE,
"ID du compte","Comptes-Salesforce vers Codial","Salesforce => Codial",Id,id,true,,"✅ Oui",Création,"Champ à créer","Compte Salesforce external Id",,
"Exclusif AdLucem","Comptes-Salesforce vers Codial",,Exclusif_AdLucem__c,Picklist,false,,"❌ Non",,"Champ à créer",,,
"Mode de règlement","Comptes-Salesforce vers Codial",,Mode_de_reglement__c,Picklist,false,VIR;VIR30M;LD30M;VIR60M;VIRE;VIR45M;CB;VIR45F;LD45M;CH30M;VLD50;V60M;V60F;CH40M;V30V45;V30EXP;LD60M;LD40M;L15M,"❌ Non",,"Champ existant","Mode de règlement",RGLT,
"Libellé banque","Comptes-Salesforce vers Codial",,Libelle_banque__c,Text,false,,"❌ Non",,"Champ existant",Domiciliation,TE11,
"Établissement bancaire","Comptes-Salesforce vers Codial",,Etablissement_bancaire__c,Text,false,,"❌ Non",,,,,
RIB,"Comptes-Salesforce vers Codial",,RIB__c,Text,false,,"❌ Non",,,,,
IBAN,"Comptes-Salesforce vers Codial",,IBAN__c,Text,false,,"❌ Non",,"Champ existant",IBAN,IBAN,
BIC,"Comptes-Salesforce vers Codial",,BIC__c,Text,false,,"❌ Non",,"Champ existant",BIC,BIC,
SIREN,"Comptes-Salesforce vers Codial",,SIREN__c,Text,false,,"❌ Non",,"Champ existant",SIREN,IL_SIREN,
NIC,"Comptes-Salesforce vers Codial",,NIC__c,Text,false,,"❌ Non",,,,,
SIRET,"Comptes-Salesforce vers Codial",,SIRET__c,Text,false,,"❌ Non",,"Champ existant",SIRET,SIRET,
"Code NAF","Comptes-Salesforce vers Codial",,Code_NAF__c,Text,false,,"❌ Non",,"Champ existant","Code NAF",CODE_NAF,
"N°de TVA intracommunautaire","Comptes-Salesforce vers Codial",,N_de_TVA_intracommunautaire__c,Text,false,,"❌ Non",,"Champ existant","N° TVA Intracommunautaire",NINTRACOM,
Classification,"Comptes-Salesforce vers Codial",,Classification__c,Picklist,false,Artisan;EA;Entreprise,"❌ Non",,"Champ à créer",,,
"Adresse expédition 2 (Rue)","Comptes-Salesforce vers Codial",,Adresse_expedition_2__Street__s,"Text Area",false,,"❌ Non",,"Champ à créer",,,
"Code (tiers)","Comptes-Salesforce vers Codial",,Code_tiers__c,Text,false,,"❌ Non",,,,,
"Adresse expédition 2 (Ville)","Comptes-Salesforce vers Codial",,Adresse_expedition_2__City__s,Text,false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 2 (Code postal)","Comptes-Salesforce vers Codial",,Adresse_expedition_2__PostalCode__s,Text,false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 2 (Région/Province)","Comptes-Salesforce vers Codial",,Adresse_expedition_2__StateCode__s,Picklist,false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 2 (Pays/territoire)","Comptes-Salesforce vers Codial",,Adresse_expedition_2__CountryCode__s,Picklist,false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 2 (Latitude)","Comptes-Salesforce vers Codial",,Adresse_expedition_2__Latitude__s,"Number (3, 15)",false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 2 (Longitude)","Comptes-Salesforce vers Codial",,Adresse_expedition_2__Longitude__s,"Number (3, 15)",false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 2 (Précision du géocodage)","Comptes-Salesforce vers Codial",,Adresse_expedition_2__GeocodeAccuracy__s,Picklist,false,Address;NearAddress;Block;Street;ExtendedZip;Zip;Neighborhood;City;County;State;Unknown,"❌ Non",,"Champ à créer",,,
"Adresse expédition 2","Comptes-Salesforce vers Codial",,Adresse_expedition_2__c,Address,false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 3 (Rue)","Comptes-Salesforce vers Codial",,Adresse_expedition_3__Street__s,"Text Area",false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 3 (Ville)","Comptes-Salesforce vers Codial",,Adresse_expedition_3__City__s,Text,false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 3 (Code postal)","Comptes-Salesforce vers Codial",,Adresse_expedition_3__PostalCode__s,Text,false,,"❌ Non",,"Champ à créer",,,
